
{2014-01-02}
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3-NM   R$', complany=UGPA3-NM   R$, date=2014-01-03, openPrice=54.8, closePrice=54.0, percentage=0.0, minPrice=53.64, maxPrice=54.81, avgPrice=54.03, total=25408.0} 
     DadosDoDia{name='SID NACIONAL'codNegociation='CSNA3F-R$', complany=CSNA3F-R$, date=2014-01-03, openPrice=14.0, closePrice=14.17, percentage=0.0, minPrice=13.91, maxPrice=14.35, avgPrice=14.27, total=43.89} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3-NM   R$', complany=LEVE3-NM   R$, date=2014-01-03, openPrice=27.0, closePrice=27.3, percentage=0.0, minPrice=26.77, maxPrice=27.55, avgPrice=27.24, total=1899.0} 
{2014-01-06}
     DadosDoDia{name='CIELO'codNegociation='CIEL3-NM   R$', complany=CIEL3-NM   R$, date=2014-01-06, openPrice=66.49, closePrice=67.03, percentage=0.0, minPrice=66.08, maxPrice=67.18, avgPrice=66.88, total=21191.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3F-R$', complany=VIVT3F-R$, date=2014-01-06, openPrice=40.4, closePrice=39.96, percentage=0.0, minPrice=39.66, maxPrice=40.54, avgPrice=40.24, total=2.96} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3-NM   R$', complany=LEVE3-NM   R$, date=2014-01-06, openPrice=27.31, closePrice=26.65, percentage=0.0, minPrice=26.43, maxPrice=27.43, avgPrice=26.66, total=1671.0} 
     DadosDoDia{name='NATURA'codNegociation='NATU3F-NM   R$', complany=NATU3F-NM   R$, date=2014-01-06, openPrice=40.68, closePrice=40.14, percentage=0.0, minPrice=39.31, maxPrice=41.25, avgPrice=40.06, total=21.76} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3-NM   R$', complany=UGPA3-NM   R$, date=2014-01-06, openPrice=53.83, closePrice=53.31, percentage=0.0, minPrice=53.15, maxPrice=53.99, avgPrice=53.42, total=15007.0} 
     DadosDoDia{name='SID NACIONAL'codNegociation='CSNA3F-R$', complany=CSNA3F-R$, date=2014-01-06, openPrice=14.17, closePrice=14.22, percentage=0.0, minPrice=14.17, maxPrice=14.49, avgPrice=14.32, total=31.82} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3-NM   R$', complany=GRND3-NM   R$, date=2014-01-06, openPrice=18.49, closePrice=18.65, percentage=0.0, minPrice=18.42, maxPrice=18.71, avgPrice=18.6, total=3530.0} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3F-NM   R$', complany=GRND3F-NM   R$, date=2014-01-06, openPrice=18.45, closePrice=18.7, percentage=0.0, minPrice=18.32, maxPrice=18.7, avgPrice=18.59, total=15.56} 
